,Date,ca_mnt,ca_fx,mnt_usd,ca_fx_usd,mnt_usd_000,ca_mnt_000,ca_fx_usd_000,ca_fx_000
0,2004-01,76010.36,109103.32,,,,0.07601036,,0.10910332
1,2004-02,68193.93,116196.25,,,,0.06819393,,0.11619625
2,2004-03,68090.52,102325.75,,,,0.06809052,,0.10232575
3,2004-04,64074.61,123485.91,1170,105.54351282051282,1.17,0.06407461,0.31663053846153844,0.12348591
4,2004-05,66264.29,116251.4,1159,100.30319240724762,1.159,0.06626428999999999,0.3009095772217429,0.11625139999999999
5,2004-06,82645.76,110709.81,1174,94.30137137989779,1.174,0.08264576,0.28290411413969335,0.11070980999999999
6,2004-07,73966.1,103130.23,1188,86.8099579124579,1.188,0.0739661,0.2604298737373737,0.10313022999999999
7,2004-08,78864.49,121841.31,1193,102.1301844090528,1.193,0.07886449000000001,0.3063905532271584,0.12184131
8,2004-09,76628.73,110218.77,1202,91.69614808652247,1.202,0.07662872999999999,0.2750884442595674,0.11021877000000001
9,2004-10,71233.74,113306.08,1207,93.87413421706711,1.207,0.07123374,0.2816224026512013,0.11330608
10,2004-11,73039.75,120939.94,1214,99.62103789126853,1.214,0.07303975,0.2988631136738056,0.12093994
11,2004-12,75327.91,105946.21,1209,87.63127377998346,1.209,0.07532791,0.2628938213399504,0.10594621000000001
12,2005-01,73291.15,115900.65,1208,95.94424668874171,1.208,0.07329115,0.28783274006622517,0.11590065
13,2005-02,79345.95,111615.06,1208,92.39657284768212,1.208,0.07934595,0.2771897185430464,0.11161506
14,2005-03,79020.53,115073.46,1192,96.53813758389262,1.192,0.07902053,0.2896144127516779,0.11507346
15,2005-04,82415.86,122947.27,1188,103.49096801346802,1.188,0.08241586000000001,0.31047290404040406,0.12294727
16,2005-05,86887.07,139278.45,1189,117.1391505466779,1.189,0.08688707000000001,0.3514174516400337,0.13927845
17,2005-06,96392.33,140142.56,1193,117.47071248952221,1.193,0.09639233,0.35241213746856664,0.14014256
18,2005-07,94591.47,150145.06,1193,125.85503772003352,1.193,0.09459147,0.3775651131601006,0.15014506
19,2005-08,100707.08,165947.27,1205,137.71557676348547,1.205,0.10070708,0.41314673029045645,0.16594726999999998
20,2005-09,96338.45,190231.91,1215,156.5694732510288,1.215,0.09633844999999999,0.4697084197530864,0.19023191
21,2005-10,97168.69,179797.43,1221,147.25424242424242,1.221,0.09716869,0.44176272727272725,0.17979742999999998
22,2005-11,96987.19,168485.25,1228,137.2029723127036,1.228,0.09698719,0.41160891693811075,0.16848525
23,2005-12,114600.53,197596.76,1221,161.83190827190828,1.221,0.11460052999999999,0.4854957248157248,0.19759676
24,2006-01,111319.25,175925.16,1216,144.67529605263158,1.216,0.11131925,0.4340258881578947,0.17592516
25,2006-02,129505.22,174685.34,1200,145.57111666666665,1.2,0.12950522,0.43671335,0.17468534
26,2006-03,126804.94,189584.16,1174,161.48565587734242,1.174,0.12680494,0.4844569676320273,0.18958416
27,2006-04,116700.77,205407.92,1191,172.4667674223342,1.191,0.11670077000000001,0.5174003022670026,0.20540792000000002
28,2006-05,127902.7,203804.55,1175,173.45068085106382,1.175,0.1279027,0.5203520425531915,0.20380455
29,2006-06,128365.44,206541.31,1172,176.2297866894198,1.172,0.12836544,0.5286893600682594,0.20654131
30,2006-07,130662.01,202413.35,1169,173.15085543199316,1.169,0.13066201,0.5194525662959795,0.20241335000000002
31,2006-08,136918.97,188929.05,1168,161.75432363013698,1.168,0.13691897,0.4852629708904109,0.18892905
32,2006-09,139948.44,221824.22,1168,189.91799657534247,1.168,0.13994844,0.5697539897260274,0.22182422
33,2006-10,137373.75,196201.46,1165,168.41327038626608,1.165,0.13737375,0.5052398111587982,0.19620146
34,2006-11,142921.23,208012.32,1164,178.70474226804123,1.164,0.14292123,0.5361142268041237,0.20801232
35,2006-12,143362.25,206535.13,1165,177.28337339055795,1.165,0.14336225,0.5318501201716739,0.20653513
36,2007-01,157023.22,205633.06,1166,176.35768439108062,1.166,0.15702322,0.5290730531732419,0.20563306
37,2007-02,171442.75,200393.39,1164,172.15926975945018,1.164,0.17144275,0.5164778092783505,0.20039339
38,2007-03,182863.54,221079.86,1165,189.76812017167381,1.165,0.18286354000000002,0.5693043605150214,0.22107986
39,2007-04,200039.84,267209.6,1165,229.3644635193133,1.165,0.20003984,0.6880933905579398,0.2672096
40,2007-05,218955.16,267523.3,1165,229.6337339055794,1.165,0.21895516,0.6889012017167382,0.26752329999999996
41,2007-06,236077.36,250712.96,1163.63,215.45762828390465,1.1636300000000002,0.23607735999999999,0.646372884851714,0.25071296
